City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,57.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
1,Rikitea,PF,77.74,clear sky,-23.1203,-134.9692,Pension Maro'i
2,College,US,55.4,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
4,East London,ZA,74.7,clear sky,-33.0153,27.9116,Tu Casa
6,Punta Arenas,CL,51.8,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
8,Bluff,NZ,57.0,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
9,Padang,ID,76.1,scattered clouds,-0.9492,100.3543,Mercure Padang
11,Ushuaia,AR,55.4,few clouds,-54.8,-68.3,Albatros Hotel
12,Hobart,AU,55.99,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
13,Cape Town,ZA,68.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
14,Saint George,US,75.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Lebu,CL,59.94,broken clouds,-37.6167,-73.65,Hostal Las Lilas
18,Caravelas,BR,75.4,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
22,Arraial Do Cabo,BR,77.0,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
23,Monduli,TZ,61.65,light rain,-3.3,36.45,Monduli Lutheran Youth Hostel
25,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
26,Hermanus,ZA,63.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
32,Fortuna,US,63.0,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
33,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
35,Imbituba,BR,71.6,light rain,-28.24,-48.6703,Praia Hotel Imbituba
36,Castro,BR,59.92,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
38,Carnarvon,AU,75.52,clear sky,-24.8667,113.6333,Hospitality Carnarvon
40,Haines Junction,CA,53.6,scattered clouds,60.7522,-137.5108,Parkside Inn
47,Rock Sound,BS,78.76,broken clouds,24.9,-76.2,Rock Sound Club
50,Elizabeth City,US,64.4,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
51,Waiouru,NZ,51.73,scattered clouds,-39.4833,175.6667,Tāwhiri
55,Busselton,AU,60.89,broken clouds,-33.65,115.3333,Observatory Guest House
59,Barra Do Corda,BR,74.35,light rain,-5.5,-45.25,Belchior Palace Hotel
60,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
61,Kaitangata,NZ,62.01,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
69,Suamico,US,60.8,scattered clouds,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
70,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
71,Sao Joao Da Barra,BR,78.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
74,Whitehorse,CA,51.8,clear sky,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
75,Lagoa,PT,60.78,overcast clouds,39.05,-27.9833,Casa Das Faias
77,Progreso,MX,77.0,broken clouds,21.2833,-89.6667,Playa Linda Hotel
78,Bengkulu,ID,74.12,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
79,Port Elizabeth,ZA,62.6,scattered clouds,-33.918,25.5701,39 On Nile Guest House
80,Jiexiu,CN,55.27,scattered clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
81,Airai,TL,56.17,overcast clouds,-8.9266,125.4092,Juvinal Martin
83,Vao,NC,76.95,light rain,-22.6667,167.4833,Hotel Kou-Bugny
85,New Norfolk,AU,57.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
87,Fairbanks,US,55.4,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
88,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Jamestown,US,55.0,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
90,Atasu,KZ,51.15,overcast clouds,48.6814,71.6433,Dostyk
93,San Patricio,US,64.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
95,Esperance,AU,50.0,clear sky,-33.8667,121.9,Hospitality Esperance
96,Maragogi,BR,77.63,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
97,Ribeira Grande,PT,62.04,broken clouds,38.5167,-28.7,Quinta da Meia Eira
98,Mar Del Plata,AR,71.6,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
100,Igbo Ora,NG,78.94,overcast clouds,7.4333,3.2833,Pinkbell Inn
102,Mount Gambier,AU,53.6,mist,-37.8333,140.7667,Commodore on the Park
103,Inirida,CO,77.56,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
105,Muriwai Beach,NZ,63.0,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
109,Naze,JP,64.4,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
113,Tongchuan,CN,51.4,clear sky,35.0806,109.0897,Tongchuan Hotel
114,Mayumba,GA,78.8,overcast clouds,-3.432,10.6554,LIKWALE LODGE
117,Matagami,CA,50.0,clear sky,49.7502,-77.6328,Hôtel Matagami
118,Kruisfontein,ZA,71.42,clear sky,-34.0033,24.7314,Oyster Bay House Rental
119,Saint-Philippe,RE,75.2,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
122,Port Macquarie,AU,60.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
124,San Rafael,AR,76.24,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
126,Erzin,TR,75.0,overcast clouds,36.9559,36.2,Artemis Otel
127,Sibu,MY,75.2,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
128,Bredasdorp,ZA,64.4,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
129,Saldanha,ZA,64.4,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
131,Pacific Grove,US,71.01,clear sky,36.6177,-121.9166,Lovers Point Inn
136,Bethel,US,57.99,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
138,Mareeba,AU,73.99,heavy intensity rain,-17.0,145.4333,Trinity Plains Tourist Park
139,Zhanaozen,KZ,54.14,broken clouds,43.3,52.8,K.korabay 28A
140,Bin Qirdan,TN,60.46,clear sky,33.1378,11.2197,Hôtel Palace
141,Broken Hill,AU,50.0,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
