City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,67,6.91,light rain
1,San Patricio,US,28.017,-97.5169,64.99,55,90,3.44,overcast clouds
2,Albany,US,42.6001,-73.9662,51.8,58,90,6.91,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,100,5.99,overcast clouds
4,Mar Del Plata,AR,-38.0023,-57.5575,68.0,82,0,5.75,clear sky
5,Baruun-Urt,MN,46.6806,113.2792,37.4,20,3,15.03,clear sky
6,Napasar,IN,27.9667,73.55,78.06,23,61,2.84,broken clouds
7,Mataura,NZ,-46.1927,168.8643,62.01,76,88,1.01,overcast clouds
8,Oranjemund,NA,-28.55,16.4333,66.94,63,52,3.22,broken clouds
9,Jamestown,US,42.097,-79.2353,48.99,71,90,11.5,overcast clouds
10,Alta Floresta,BR,-9.8756,-56.0861,71.96,94,69,2.24,broken clouds
11,San Cristobal,VE,7.7669,-72.225,84.2,65,40,4.61,scattered clouds
12,Mahebourg,MU,-20.4081,57.7,78.8,89,75,12.66,light rain
13,Vaini,TO,-21.2,-175.2,80.6,78,40,9.22,scattered clouds
14,Busselton,AU,-33.65,115.3333,62.01,74,90,7.38,overcast clouds
15,Turukhansk,RU,65.8167,87.9833,9.34,82,100,10.09,overcast clouds
16,Tezu,IN,27.9167,96.1667,65.32,82,100,7.16,overcast clouds
17,Clyde River,CA,70.4692,-68.5914,5.0,85,90,13.8,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,53.6,66,40,9.22,scattered clouds
19,Meulaboh,ID,4.1363,96.1285,76.03,87,99,1.52,overcast clouds
20,Plettenberg Bay,ZA,-34.0527,23.3716,67.42,53,9,11.88,clear sky
21,Yellowknife,CA,62.456,-114.3525,41.0,48,20,10.36,few clouds
22,Punta Arenas,CL,-53.15,-70.9167,48.2,81,0,9.22,clear sky
23,San Lazaro,BZ,18.0387,-88.6622,87.8,84,90,13.8,overcast clouds
24,Longyearbyen,SJ,78.2186,15.6401,28.4,93,90,6.91,snow
25,Rikitea,PF,-23.1203,-134.9692,77.9,76,8,8.01,clear sky
26,Ostrovnoy,RU,68.0531,39.5131,29.3,78,99,20.13,overcast clouds
27,Beloha,MG,-25.1667,45.05,64.44,75,0,12.93,clear sky
28,Palmer,US,42.1584,-72.3287,57.2,47,90,5.75,overcast clouds
29,Den Helder,NL,52.9599,4.7593,45.0,93,6,5.75,mist
30,Hobart,AU,-42.8794,147.3294,63.0,48,75,17.27,broken clouds
31,Kushmurun,KZ,52.4503,64.6311,29.16,54,17,18.16,few clouds
32,Mananara,MG,-16.1667,49.7667,72.43,92,99,10.02,light rain
33,Tecpan,GT,14.7623,-90.9947,71.6,68,75,13.8,broken clouds
34,Ponta Do Sol,PT,32.6667,-17.1,59.0,72,4,1.99,clear sky
35,Qaanaaq,GL,77.484,-69.3632,3.2,79,99,4.92,overcast clouds
36,Kirishi,RU,59.4471,32.0205,39.99,24,98,5.64,overcast clouds
37,Salinas,US,36.6777,-121.6555,69.01,63,1,14.97,clear sky
38,Hvolsvollur,IS,63.7533,-20.2243,32.0,92,96,3.0,snow
39,Yeppoon,AU,-23.1333,150.7333,75.2,53,20,10.36,few clouds
40,Garissa,KE,-0.4536,39.6401,76.91,81,95,13.38,overcast clouds
41,Ucluelet,CA,48.9329,-125.5528,62.6,51,20,6.91,few clouds
42,Sofiyivka,UA,48.0493,33.8746,46.4,71,0,4.47,clear sky
43,Margate,GB,51.3813,1.3862,42.01,82,13,1.99,few clouds
44,Kelvington,CA,52.1667,-103.5343,32.0,47,100,10.36,overcast clouds
45,Cervo,ES,43.6702,-7.4101,54.0,79,100,3.76,overcast clouds
46,Nalhati,IN,24.3,87.8167,76.17,64,0,5.37,clear sky
47,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,75,1,14.97,clear sky
48,Husavik,IS,66.0449,-17.3389,37.4,52,20,20.71,few clouds
49,Inuvik,CA,68.3499,-133.7218,48.2,37,13,8.05,few clouds
50,Kasane,BW,-17.8167,25.15,57.2,79,1,3.91,clear sky
51,Kodiak,US,57.79,-152.4072,50.0,66,75,18.41,broken clouds
